type,commentsCount,url,videoViewCount,likesCount,firstComment,videoPlayCount,caption,mentions,tagged_users,latestComments,hashtags
Image,95,https://www.instagram.com/p/C8uDj7hNX1c/,0,335,"Saaho BMS tickets, Kalki BMS review, KALKI BMS tickets sold last hour, KALKI BMS rating, Pushpa 2 release date

#ContestAlert #Cinephile #CommentAndWin #Win #Contest #Trending",0,I’ll go first: Kalki 2898 AD post credits sceneContinue in the comments and stand a chance to win exclusive movie vouchers worth ₹500! 🤩#ContestAlert #Cinephile #CommentAndWin #Win #Contest #Trending,no mentions,[],"['Saaho BMS tickets, Kalki BMS review, KALKI BMS tickets sold last hour, KALKI BMS rating, Pushpa 2 release date\n\n#ContestAlert #Cinephile #CommentAndWin #Win #Contest #Trending', 'Kalki 2898 AD Ticket Book my show, Upcoming Movies 2024, Pushpa 2 New Release Date', 'Salman khan debut date , bahubali retakes scene,  kalki 2898 AD collection @majes_ticmaira @alish_ba9274 @mumbais_foodie', 'Stree 2 release date', 'Kalki  2898 AD Collections, Pushpa 2 new release Time.', '@virwanivishal12 @girl_shine_like_a_star @hinasitani', 'Saaho BMS tickets, Kalki BMS review, KALKI BMS tickets sold last hour ,  KALKI BMS rating , Pushpa 2 release date', '- Avengers 5 and Deadpool 3 connected\n- Possible Cameos in Deadpool 3\n- Kalki 2898 AD worldwide collection\n- Pushpa 2 New Release Date\n#CommentAndWin #Cinephile', '- Jatt and juliet 3 shows near me\n- chandu champion imdb rating\n- Kalki 2898 ending explained\n#CommentAndWin #Cinephile', '- Why monkey man banned in india\n- Kalki 2898 AD runtime\n- Munjya movie post credit scene\n- bhediya and munjya connection\n#CommentAndWin #Cinephile']","['ContestAlert', 'Cinephile', 'CommentAndWin', 'Win', 'Contest', 'Trending']"
Video,2,https://www.instagram.com/p/C8wLs0sgpGl/,1726,189,🔥🔥,8605,Techno {tek-no}; nounLIFE 🫰🏻#Technosphere #Techno #Music #MusicEvent #LiveMusic #Beats #Artists #Trending,no mentions,"['sunburnfestival', 'team.innovation', 'technosphere_ind']","['🔥🔥', '😍❤️']","['Technosphere', 'Techno', 'Music', 'MusicEvent', 'LiveMusic', 'Beats', 'Artists', 'Trending']"
Video,3,https://www.instagram.com/p/C8q_n-kgP3y/,3915,224,@anirudhahazra 😢😂,16467,"Poore group ko niche tag karke expose kar do👇🏻 [ Plans, Friends, Movie Plans, Relatable, Fun, Trending, Group Chat, Relatable Reels, Trending Reels ]",no mentions,[],"['@anirudhahazra 😢😂', '😮😂😂😂😂😂😂']",[]
Image,3,https://www.instagram.com/p/C8xE-A-Nr6m/,0,28200,Worst movie of this Series,0,"Did you 𝘩𝘦𝘢𝘳 about the invasion? 👀 Watch A Quiet Place: Day One in cinemas near you! Link in bio 🎟️ [ Horror, Thriller, Science Fiction, New Movies, Movie Plans, Plans, Explore, Trending, Book Now ]",no mentions,"['lupitanyongo', 'djimon_hounsou', 'alexwolffofficial']","['Worst movie of this Series', 'Never', 'Sorry I won’t recommend']",[]
Image,31,https://www.instagram.com/p/C8twEyAATch/,0,2331,Can use this comment as a dislike button for the movie.,0,The only thought running in my mind for 3 hours this morning: 𝘛𝘩𝘪𝘴 𝘪𝘴 𝘤𝘪𝘯𝘦𝘮𝘢 🤯#FirstDayFirstShow #Kalki2898AD #Prabhas #DeepikaPadukone #AmitabhBachchan #KalkiDay #Kalki #NewReleases #Plans #Trending,no mentions,"['deepikapadukone', 'amitabhbachchan', 'actorprabhas', 'kalki2898ad']","['Can use this comment as a dislike button for the movie.', 'Correct', '🔥', '@cinepolisindia that just translated to ""You may book tickets with @pvrcinemas_official ""']","['FirstDayFirstShow', 'Kalki2898AD', 'Prabhas', 'DeepikaPadukone', 'AmitabhBachchan', 'KalkiDay', 'Kalki', 'NewReleases', 'Plans', 'Trending']"
Image,3,https://www.instagram.com/p/C8u3N2EAdGo/,0,469,Yess,0,"Ab toh hum 29th ko hi bolenge 🤝🏼Jo hoga, dekha jaayega! #INDvsENG #T20WorldCup #Cricket #Sports #TeamIndia #SemiFinals #INDvsENG2024",no mentions,[],"['Yess', 'Tickets booking commencing from when ? 👀', '@the_guywithcap did you get the tickets?']","['INDvsENG', 'T20WorldCup', 'Cricket', 'Sports', 'TeamIndia', 'SemiFinals', 'INDvsENG2024']"
Video,4,https://www.instagram.com/p/C8jfsVqgXdr/,7100,609,Kalki post,37724,"We only have two moods, both involve tears 🥹😭Grab your tickets to watch #U1 live at the link in bio now 🔗Music Credits: @itsyuvan #U1sLongDrive #YuvanShankarRaja #Concert #Events #Music #BookNow",['itsyuvan'],"['itsyuvan', 'noiseandgrains', 'poomerfashions']","['Kalki post', '😮🔥🙌❤️❤️', 'Any one need 2 Fatpit A tickets for Coimbatore Concert. Pls contact me, I am not going.', '😍😍😍 waiting for Singapore date pls let us know soon!!']","['U1', 'U1sLongDrive', 'YuvanShankarRaja', 'Concert', 'Events', 'Music', 'BookNow']"
Image,6,https://www.instagram.com/p/C8ZHwlPIO7v/,0,33142,🙏🙏,0,"Pehle Ed, ab Fallon, can’t wait for the next iconic Diljit moment 🥰#DiljitDosanjh #JimmyFallon #Concerts #LiveMusic #Music #Artist",no mentions,"['jimmyfallon', 'diljitdosanjh', 'bookmyshowin']","['🙏🙏', 'Not bad just good', '🔥', 'haa toh karao ek india tour']","['DiljitDosanjh', 'JimmyFallon', 'Concerts', 'LiveMusic', 'Music', 'Artist']"
Image,12,https://www.instagram.com/p/C8efuExtYwe/,0,1186,Itane kharab din nahi aaye hai,0,"Brb, googling how to say GORGEOUS in 5 different languages 😍#DeepikaPadukone #Kalki2898AD #Action #SciFi #Thriller #NewMovie #MoviePlans #Plans #ComingSoon #Trending",no mentions,['deepikapadukone'],"['Itane kharab din nahi aaye hai', '🤢 yuck', 'Kalki event ni  kuda née chanel growth ki vadestunav bro', 'We are ❤️', 'Can’t agree more than this , it’s Deepika Padukone’s era', 'We All Are Living In Deepika Padukone Era❤️🔥', '@bookmyshowin Awwww 🥰😄']","['DeepikaPadukone', 'Kalki2898AD', 'Action', 'SciFi', 'Thriller', 'NewMovie', 'MoviePlans', 'Plans', 'ComingSoon', 'Trending']"
Image,4,https://www.instagram.com/p/C8Zs3BsBA5Y/,0,27032,@aniket_shaktawat 😂😂,0,"Tag that Chhotu in your life! 🤭Watch #AashishSolanki live, link in bio 🎟️#Comedy #StandUpComedy #Plans #Fun #BookNow #Explore #Trending",no mentions,['ashishsolanki_1'],"['@aniket_shaktawat 😂😂', '@im__sukhi___ 😅', 'Mil tu 😑😑😑', '@yashu2701']","['AashishSolanki', 'Comedy', 'StandUpComedy', 'Plans', 'Fun', 'BookNow', 'Explore', 'Trending']"
Video,1,https://www.instagram.com/p/C8Zeh6bNv3B/,3059,193,Fir bhi nhi dekhenge,15558,"Champions wahi hote hain, jo kabhi haar nahi maante 🫡Watch #ChanduChampion, in cinemas near you! Link in bio 🎟️#KartikAaryan #VijayRaaz #RajpalYadav #Biography #Drama #Sports #Movies #NewReleases #BookNow",no mentions,['kartikaaryan'],['Fir bhi nhi dekhenge'],"['ChanduChampion,', 'KartikAaryan', 'VijayRaaz', 'RajpalYadav', 'Biography', 'Drama', 'Sports', 'Movies', 'NewReleases', 'BookNow']"
Sidecar,2,https://www.instagram.com/p/C8gitJUo9db/,0,481,Kalki post,0,Aapke kis cheez se lag gaye? Let us know in the comments 🤭Link in bio! 🎟️ #IshqVishkRebound #InsideOut2 #Munjya #MoviePlans #Movies #BookNow #Trending #Explore,no mentions,"['rohitsaraf', 'verma.abhay_']","['Kalki post', 'Hahaha to good 😂']","['IshqVishkRebound', 'InsideOut2', 'Munjya', 'MoviePlans', 'Movies', 'BookNow', 'Trending', 'Explore']"
Video,15,https://www.instagram.com/p/C8d4NK-B2f7/,4797,222,❤️❤️❤️,18226,Baki dosto se 2 kadam aage rehne ki ninja technique 😉Scan the code now!#Delhi #Mumbai #Bengaluru #WhatsAppChannel #JoinNow #BookMyShowNowOnWhatsApp #Trending,no mentions,[],"['❤️❤️❤️', 'L2aLLlWkl', '👏🏻', '😍👏', 'Ohhoo😍😍😍', '😍😍😍😍', 'Wohoooo', 'yayy', 'cutu']","['Delhi', 'Mumbai', 'Bengaluru', 'WhatsAppChannel', 'JoinNow', 'BookMyShowNowOnWhatsApp', 'Trending']"
Sidecar,4,https://www.instagram.com/p/C8jueHqImwJ/,0,205,Solve the glitch in the app we want tickets for Kalki tickets now,0,When you ask Uncle Roger what he thinks of Jamie Oliver…Grab your tickets for Nigel Ng: The Haiyaa World Tour at the link in bio 🔗#NigelNg #UncleRoger #NigelNgTheHaiyaaWorldTour #Haiyaa #HaiyaaTour #HaiyaaWorldTour #HaiyaaIndiaTour #BookMyShowLive,no mentions,['bookmyshowin'],"['Solve the glitch in the app we want tickets for Kalki tickets now', 'Kalki postt', 'First of all check your sever bro....... There is a technical issues while booking kalki movie😢', 'Tickets open cheyu ra...']","['NigelNg', 'UncleRoger', 'NigelNgTheHaiyaaWorldTour', 'Haiyaa', 'HaiyaaTour', 'HaiyaaWorldTour', 'HaiyaaIndiaTour', 'BookMyShowLive']"
Image,54,https://www.instagram.com/p/C8bXWAENxTj/,0,2664,Damm🔥🔥,0,"THE WAIT IS OVER 🤩@prateekkuhad's Silhouettes India Tour EARLY BIRD TICKETS ARE NOW LIVE!BOOK NOW before they are gone, tickets on BookMyShow, link in bio. Presented by Johnnie Walker Refreshing Mixer Non-Alcoholic Produced and curated by @tribevibe.liveCo-Curated by @bigbadwolfdotin Entertainment partners @gaana@mirchiplus@prateekkuhad @teamprateekkuhad @bookmyshowin @walkersandco.india @tribevibe.live @bigbadwolfdotin#SilhouettesTour #PrateekKuhad #PrateekKuhadSilhouettesTour #IndiaTour #PrateekKuhadIndiaTour","[""prateekkuhad's"", 'tribevibe.live', 'bigbadwolfdotin', 'gaana', 'mirchiplus', 'prateekkuhad', 'teamprateekkuhad', 'bookmyshowin', 'walkersandco.india']","['prateekkuhad', 'mirchiplus', 'gaana', 'bookmyshowin', 'bigbadwolfdotin', 'teamprateekkuhad']","['Damm🔥🔥', 'Wtffff where is chennai 😭😭😭', 'Lucknow 😢', ""Can't wait 🙌"", '@malekasif check out the link in our bio.', 'Karan aujla delhi show(15dec) general tickets available']","['SilhouettesTour', 'PrateekKuhad', 'PrateekKuhadSilhouettesTour', 'IndiaTour', 'PrateekKuhadIndiaTour']"
Sidecar,3,https://www.instagram.com/p/C8Y3omcNg-t/,0,464,Please put more shows in mumbai ..next week,0,Only JOY now that #InsideOut2 is in theatres! 🫶🏻Book your tickets at the link in bio 🎟️#Drama #Comedy #Animation #NewRelease #NewMovies #MoviePlans #Plans #BookNow #Explore #Trending,no mentions,[],"['Please put more shows in mumbai ..next week', 'On point emotions🔥🙌', 'Genius collaboration ❤️❤️']","['InsideOut2', 'Drama', 'Comedy', 'Animation', 'NewRelease', 'NewMovies', 'MoviePlans', 'Plans', 'BookNow', 'Explore', 'Trending']"
Video,40,https://www.instagram.com/p/C8eFcIOgKfQ/,5911,485,,22284,It’s called the universal language for a reason ♥️Happy #WorldMusicDay 🎵✨#MusicDay #Music #Artists #Events #BucketList #LiveEvents #LiveMusic,no mentions,"['sunburnfestival', 'tribevibe.live', 'bookmyshow.live']","['@rikaamtekda dope edit 🔥', 'O', 'Ll oo mm mm o. Kk l', 'Ooo', 'ઝનૂન.ઝહીર..રણબીર.ઝરઘૂ.ઝઘ.ઝથઢરઢઢઢહઢથરૂ.રઘ.ઝથ..ઝ..ભથઊઊ😂']","['WorldMusicDay', 'MusicDay', 'Music', 'Artists', 'Events', 'BucketList', 'LiveEvents', 'LiveMusic']"
Video,2,https://www.instagram.com/p/C8elqQ1oM2Z/,74508,6871,Kalki post,262067,Only the bravest (or ignorant) souls can step into an Asian house with footwear on!Grab your tickets for Nigel Ng: The Haiyaa World Tour at the link in bio 🔗#NigelNg #UncleRoger #NigelNgTheHaiyaaWorldTour #Haiyaa #HaiyaaTour #HaiyaaWorldTour #HaiyaaIndiaTour #BookMyShowLive,no mentions,['bookmyshowin'],"['Kalki post', ""Veg people who can't stand people buying eggs shouldn't be allowed here.""]","['NigelNg', 'UncleRoger', 'NigelNgTheHaiyaaWorldTour', 'Haiyaa', 'HaiyaaTour', 'HaiyaaWorldTour', 'HaiyaaIndiaTour', 'BookMyShowLive']"
Image,1,https://www.instagram.com/p/C8KF2Oit5NC/,0,15755,Aahhh i see what u did there😂😂😂u sneaky beaky,0,"All part of our cabinet 🥰Book your tickets for #InsideOut2 at the link in bio 🔗[ Movies, Inside Out 2, Relatable, Trending, Plans ]",no mentions,[],['Aahhh i see what u did there😂😂😂u sneaky beaky'],['InsideOut2']
Image,0,https://www.instagram.com/p/C8RHUg9NDvu/,0,211,,0,Career ka nahi toh Father's Day ka hi plan batado papa ko 🙈👀#FathersDay #HappyFathersDay #FathersDay2024,no mentions,[],[],"['FathersDay', 'HappyFathersDay', 'FathersDay2024']"
Image,177,https://www.instagram.com/p/C8KU7Natlde/,0,11915,Mel,0,"Tell us the worst excuse your friends have used to cancel a plan. The best ones might just win, for this sin 🤭#ContestAlert #Plans #Excuses #CommentAndWin #Friends #Win #Contest #Trending",no mentions,[],"['Mel', '🙏🏻🙏🏻', 'Mami nai manegi though I will get married', 'bhai joote nhi milre😔', '❤️', 'Mujhe padai karna na... Next week se exam start ho rha hai🥲', 'Merko jootey nahi mil rahe!', 'Merko thoda me time spend krna hai', 'Bohot garmi hai!']","['ContestAlert', 'Plans', 'Excuses', 'CommentAndWin', 'Friends', 'Win', 'Contest', 'Trending']"
